"Road vehicle fleet at 31 December by vehicle category and age group"

"Age Group","Type of Vehicle","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All ages","Motor coaches, buses and trolleybuses","Canada",63651,64457,64339,64155,64261,68307,73174,77341,74086,75517,79364,77842,78962,80447,82583,84163,85579,86327,86594,87387,88878,90650,90551,90643,,,,66703,64206
"All ages","Motor coaches, buses and trolleybuses","Croatia",3895,4026,3897,4596,4771,4814,4715,4637,4703,4731,4782,4811,4831,4864,5057,5112,5085,4888,4841,4655,4789,5040,5276,5513,5698,5877,6041,5237,5206
"All ages","Motor coaches, buses and trolleybuses","Cyprus",2438,2546,2670,2801,2800,2754,2835,2949,3003,2997,3275,3,3217,3221,3292,3402,3449,3403,3461,3557,3495,2581,2712,2842,2991,3084,3151,2655,2774
"All ages","Motor coaches, buses and trolleybuses","Czechia",19203,19756,20474,21200,20755,19960,18981,18259,18384,21340,20627,19948,20134,20331,20416,20375,19943,19653,19674,19882,20318,20511,20667,20876,21442,22027,22206,19968,20555
"All ages","Motor coaches, buses and trolleybuses","Denmark",12978,13564,13669,13786,13779,13911,13909,13968,13954,13986,14132,14191,14191,14552,14482,14452,14509,14496,14014,13485,13270,13408,13383,13417,13482,13158,13003,12298,11923
"All ages","Motor coaches, buses and trolleybuses","Estonia",8841,6467,7152,6846,6602,6448,6336,6059,5542,5306,5493,5413,5194,5501,4431,4412,4236,4281,4259,4410,4587,4706,4845,4901,5022,5026,5221,5285,5374
"All ages","Motor coaches, buses and trolleybuses","Finland",8255,8054,8083,8233,8450,9040,9487,9852,9769,10005,10358,10716,10912,11189,11543,12276,13017,13650,14185,14930,15485,16202,16812,17491,18067,18467,19086,19233,19470
"All ages","Motor coaches, buses and trolleybuses","France",77700,78700,81800,82100,82000,84961,85668,85749,86954,85876,87101,88417,90055,92152,94392,92874,90452,89685,91499,92767,95743,96467,98746,92848,89457,90770,92297,92918,94523
"All ages","Motor coaches, buses and trolleybuses","Georgia",,,13700,13700,14700,14800,18900,19800,22700,24100,25700,30582,32975,36845,39361,42900,,47551,49191,51200,51900,52700,53000,53400,,,,,
"All ages","Motor coaches, buses and trolleybuses","Germany",88433,88460,86258,84954,84019,83285,84687,86656,86461,85880,86480,85508,83904,83549,75068,75270,76433,76463,75988,76023,76794,77501,78345,78949,79438,80519,81364,75548,80225
"All ages","Motor coaches, buses and trolleybuses","Greece",23206,23968,24600,25096,25622,26320,27147,27459,27518,27650,27498,26780,27198,,27471,27555,27692,27677,27487,27328,27149,27047,26942,26897,26835,26743,26833,26893,26938
"All ages","Motor coaches, buses and trolleybuses","Hungary",22186,21785,20464,19381,18890,18795,17988,18100,18058,18114,18111,17619,17450,19773,19998,17995,17720,17641,17366,17301,17569,17923,18135,18482,18705,19134,19454,16979,17759
"All ages","Motor coaches, buses and trolleybuses","Iceland",1193,1249,1295,1363,1483,1544,1621,1675,1711,1699,1711,1762,1899,1929,1943,1955,1888,1916,1972,2084,2179,2300,2463,2862,3095,3146,3194,3105,3625
"All ages","Motor coaches, buses and trolleybuses","Ireland",4835,4985,5282,5535,7007,7194,7794,8247,8462,8486,8803,8980,9180,,10110,12111,10346,9937,9891,9932,10155,10407,10878,11446,11955,12500,12990,11932,12642
"All ages","Motor coaches, buses and trolleybuses","Israel",10327,11697,12999,14252,14713,14986,16805,18046,18780,19140,11631,11415,19617,20544,21309,22761,,,,,,,,,33216,34186,35204,35387,
"All ages","Motor coaches, buses and trolleybuses","Italy",77000,76076,75023,78183,83612,85799,85762,87956,89858,91716,92701,92874,94437,96099,96419,97597,98724,99895,100438,99537,98551,97914,97991,97817,,100042,100149,99883,100199
"All ages","Motor coaches, buses and trolleybuses","Kazakhstan",,48461,45574,39738,34130,29547,26146,24685,24436,24785,26004,,65698,32725,35396,89220,,94000,98634,97497,101295,99188,97916,98672,90642,89503,86828,,
"All ages","Motor coaches, buses and trolleybuses","Kyrgyzstan",,,,,,,,,,,,,,,,,,183,124,121,,,,,,,,,
"All ages","Motor coaches, buses and trolleybuses","Latvia",13391,14517,16813,17603,18877,11829,11870,11807,11605,11475,11294,11051,10966,10946,10958,10889,9990,5679,5488,5346,5253,5102,5066,4986,4955,4885,4808,4383,4270
"All ages","Motor coaches, buses and trolleybuses","Liechtenstein",,,119,120,121,132,115,103,113,103,99,102,105,106,101,99,103,105,105,105,101,101,103,98,100,99,102,75,87
"All ages","Motor coaches, buses and trolleybuses","Lithuania",16874,17635,17584,16026,15435,15679,16090,15543,15641,15842,16006,14853,15311,15619,14488,14312,13837,13728,13545,13107,13063,7371,7286,7326,7570,7925,8142,8070,7985
"All ages","Motor coaches, buses and trolleybuses","Luxembourg",850,846,871,915,944,945,984,1051,1122,1176,1227,1269,1340,1379,1455,1545,1623,1636,1703,1728,1759,1778,1857,1904,1960,2046,2184,2239,2344
