"Road vehicle fleet at 31 December by vehicle category and age group"

"Age Group","Type of Vehicle","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Denmark",3246,3266,3398,3364,3514,3607,3483,3495,3570,3701,4660,5906,6108,5910,5932,5891,,,,,4461,4075,4205,4354,4081,3990,3890,3587,3121
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Estonia",,,,,,4377,4653,4778,4457,4278,4382,4358,4213,4376,3140,3091,2946,2886,2854,2870,1773,1660,1724,1749,1860,1871,2011,1757,1611
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Finland",,,,,4583,5008,5391,5618,5437,5293,5280,5341,5424,5670,5965,5951,6546,7880,8422,9006,6125,6395,6543,6620,6755,6945,6943,6938,6954
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","France",,,,,,43735,43120,43161,41734,44289,39377,39972,40713,39733,39678,36944,37418,,,,34277,34288,34643,26609,22274,22947,24138,25663,24990
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Germany",,33643,31402,30317,29740,36604,30063,28480,28580,23830,35114,32932,32199,32607,27261,27507,27998,28112,28285,28624,25908,25022,25244,25090,24842,25349,25493,23797,24246
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Greece",,15207,15747,15842,15852,16077,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Hungary",,,9711,10396,11372,12372,12283,12464,11434,11073,10856,10150,9927,11708,11522,10191,10155,10631,11183,11696,7520,7862,8634,8631,9192,9683,9966,8425,8264
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Iceland",430,468,,,624,682,762,772,819,864,873,819,995,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Ireland",,,,,,,,,,,,,,,,,1271,1506,2056,2272,2466,2677,3037,3345,4791,5281,5131,4482,4264
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Israel",,,,,,,,,,,,,,,,,,,,,,,,,5033,5044,5169,5421,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Italy",,,,,,,52229,53725,53323,52687,,48242,47099,46825,46896,48094,50928,53485,56480,58445,59718,61533,63988,65574,67381,67580,66165,66735,65773
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Kazakhstan",,,,9334,9849,10507,11198,11327,12108,13332,13962,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Latvia",,,,8868,10553,7395,8110,8717,9020,9171,8949,8558,8418,8314,8329,8174,7678,3570,3378,3368,3244,2230,2243,2059,2010,2150,2051,1909,1860
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Liechtenstein",,,,,,,,32,33,13,21,18,18,20,14,14,20,18,17,19,15,16,18,14,14,17,18,12,17
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Lithuania",,,,9690,9861,10688,11865,12231,13123,13678,14710,13050,12458,12605,11463,11219,10987,11022,10930,10583,4272,3177,3278,3359,3580,3687,3616,3472,3213
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Luxembourg",,,,,,,195,194,211,222,240,208,233,173,201,189,255,180,147,110,164,155,139,152,113,195,237,272,322
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Malta",,,,,,933,636,805,812,909,,,1041,1034,1080,1148,1220,1268,909,884,582,654,637,619,606,664,665,589,631
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Monaco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Montenegro",,,,,,,,,,,,,,,,,,,,,,,,601,753,910,957,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Netherlands",,4000,,3846,3817,4241,4610,4977,5061,5161,4878,4427,3719,3386,3000,2705,2716,2775,2696,2489,,,1491,1614,1583,1679,2091,1959,1864
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","North Macedonia",1680,1441,,1700,1794,1900,1957,2050,2176,2054,2041,,1742,1605,1757,1830,1913,2192,1978,2034,1772,2526,2590,2540,2532,2603,2520,2120,2612
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Norway",,,9375,9582,9828,9824,9173,9233,,,,11724,12089,12663,12549,12166,11272,10004,8624,7530,,6118,5792,3070,2862,2801,2472,2632,2220
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Poland",,,,,,,,,,61474,60244,59292,57483,60407,64283,69034,73392,75655,81779,81791,,33162,34129,35090,35749,38915,39002,37901,36587
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Portugal",,,,,,11031,11572,12099,,,,,,,,,,8484,8816,7496,5982,7717,7885,8036,8407,8238,9152,8633,7847
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Republic of Moldova",,,,3343,3681,4145,4243,,4077,4043,4026,11204,11858,19011,19434,,19174,18651,19406,19364,19447,19532,19755,19846,19582,19849,20078,20020,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Romania",,,,,,,,,,,,,,,,15786,15753,15080,18589,20236,22269,24456,27149,29569,33085,26114,26005,24977,23854
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Russian Federation",,,,,,,,,,,,,,,,,416009,421484,443010,479587,403334,,,,,,,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","San Marino",,,,,,,,,,,32,34,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Serbia",,,,,,,,,,,,,,6196,5635,5431,5081,3834,4303,4227,4381,4841,,,,,,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Slovakia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Slovenia",631,704,867,,828,954,999,980,918,714,,,828,779,817,871,957,965,997,1006,995,994,1026,1001,1013,1041,1038,826,1005
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Spain",21790,21744,21586,19896,20396,21260,22056,23328,27053,27647,25847,25009,24735,22800,22700,23223,24202,25239,25648,26082,,21024,22310,23709,25064,25844,25318,24063,24782
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Sweden",,,5596,5712,5573,5610,4649,4125,3906,3398,3121,2408,1985,1867,1795,1944,1959,1982,1790,1692,1416,1359,1222,1434,1574,1658,1539,1511,1813
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Switzerland",14340,15108,15678,16230,17177,18189,19219,20119,20921,21545,21873,22131,3900,3300,3400,2800,2500,2400,2600,2600,2200,2400,1400,2500,4762,4852,4997,4709,4585
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Tajikistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Turkiye",,,,,,,,,,,,228204,239015,261126,289121,306144,324879,339783,328550,315365,208176,218903,235638,255093,260619,263519,262131,241623,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Ukraine",,,,,,,,73484,,,,,92771,,,94440,,87512,2581,2334,179,213,206,239,,,,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","United Kingdom",,,,36481,56041,,60075,61345,59068,56796,54723,54271,55484,48610,50060,62230,59633,61125,60197,60807,,,58307,59212,59556,59394,,,55845
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Motor coaches, buses and trolleybuses","Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Albania",17927,23021,,,,,,,,,,,,,,,,,,,,,,,,,,685,714
"> 10 and = < 20 years","Light goods road vehicles","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Armenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Austria",,74302,77860,80468,84379,91416,95484,97915,101689,90419,91834,91702,91179,77596,78255,80125,83629,87358,92127,94459,64774,67832,71794,75951,81060,86131,91769,95539,99091
"> 10 and = < 20 years","Light goods road vehicles","Azerbaijan",,,28880,31824,,,,50112,,,,,53888,74649,82692,74279,75320,73015,,93715,100955,102572,104732,,,4107,4522,,
"> 10 and = < 20 years","Light goods road vehicles","Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Belgium",11245,116944,123522,130987,140349,146285,155067,161888,169327,173830,174263,175186,155896,157449,158179,164032,171171,184007,196122,206824,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,50274,49788,49452,49840,50091,51307,,24477,25683,25618,23692,25391
"> 10 and = < 20 years","Light goods road vehicles","Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Canada",,,,,,,,,,,,,232286,,,280817,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Croatia",,,25034,39684,48124,51496,64153,64142,67645,70337,72387,74434,72269,71357,67215,72072,70936,66790,66963,58500,60863,64146,40031,44652,49483,55404,61765,62799,65246
"> 10 and = < 20 years","Light goods road vehicles","Cyprus",,30215,32576,33285,33083,36159,40255,45858,50519,52257,55066,56846,61207,60822,62674,65193,68361,67803,70371,72417,42334,41466,40205,41974,43230,44188,43494,42951,40980
"> 10 and = < 20 years","Light goods road vehicles","Czechia",73824,82044,89889,98353,107332,110667,109748,105707,109120,120284,121585,127940,139341,155774,175489,187571,191007,202962,215983,200552,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Denmark",6990,7289,,,,,,,,,9405,8805,8538,9000,8824,8453,,,,,96518,96998,102640,143157,147368,138538,118681,103243,93800
"> 10 and = < 20 years","Light goods road vehicles","Estonia",,,,,,51142,54756,57454,56991,56779,57986,57443,56184,57839,41525,41806,42131,43320,45324,47619,19574,21356,23276,25676,28452,30183,33120,31838,33621
"> 10 and = < 20 years","Light goods road vehicles","Finland",,,,,107081,125069,150345,169777,174049,171746,164660,163830,165810,170738,182953,208880,212110,261441,289563,311115,137203,151499,161547,169305,174580,175239,168071,163633,166774
"> 10 and = < 20 years","Light goods road vehicles","France",,,,,,1584206,1707638,1748011,1821290,1770193,1772930,1532660,1542696,1545382,1586031,1498631,1513528,,,,2688271,2774934,2856189,1557108,1530150,1558766,1531475,1508493,1499421
"> 10 and = < 20 years","Light goods road vehicles","Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Germany",,2112,516602,517051,2314,530315,548580,600111,694784,757586,776387,791547,802792,856866,660108,666004,692546,705444,719772,716287,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Greece",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Hungary",,,111287,123762,138309,133157,138423,150637,139128,132891,141013,116740,115956,145820,147014,100083,179410,199363,216453,236369,163914,177918,196457,201092,211635,220926,228419,216518,208803
"> 10 and = < 20 years","Light goods road vehicles","Iceland",4723,4841,,,6154,6008,6448,6664,7474,8641,8969,8586,8823,,,,,,,,,,,,,,,,11267
"> 10 and = < 20 years","Light goods road vehicles","Ireland",9599,11600,12948,14778,23063,25408,29097,32955,34031,33915,35006,37131,,,45325,,30045,35351,44770,50295,56269,62742,72773,86118,128958,130243,122962,119731,111516
"> 10 and = < 20 years","Light goods road vehicles","Israel",,,,,,,,,,,,,,,,,,,,,,,,,112188,113885,103232,89306,
"> 10 and = < 20 years","Light goods road vehicles","Italy",,,,,,,1627073,1743195,1830262,1893109,,1814745,1869402,1917364,1936235,1697100,1753488,1857166,1984705,2149317,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Kazakhstan",,,,55928,52115,47437,48832,49275,50272,58358,61896,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Latvia",,,,37929,44463,53728,60630,69232,74007,76228,76437,76784,78677,80827,83025,84355,81298,39200,38464,39573,,22016,23705,23938,26124,27069,26348,26297,27766
"> 10 and = < 20 years","Light goods road vehicles","Liechtenstein",,,,,,,,807,846,842,786,754,702,712,719,742,734,824,891,945,648,620,637,625,622,652,708,696,743
"> 10 and = < 20 years","Light goods road vehicles","Lithuania",,,,47640,55536,64009,69722,71914,77648,77413,88618,80889,80946,85875,88352,88836,90658,80542,61900,81647,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Luxembourg",,,,,,,4462,3789,5139,5353,5179,5018,4867,4866,4974,5135,6788,5842,5059,4381,5223,5505,5815,6196,6008,6348,6448,6775,7377
"> 10 and = < 20 years","Light goods road vehicles","Malta",,,,,,27620,22888,15301,,,,,29285,31305,32658,33176,33485,33923,33963,33497,13082,12477,11458,9944,9984,11912,10575,10324,10511
"> 10 and = < 20 years","Light goods road vehicles","Monaco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Montenegro",,,,,,,,,,,,,,,,,,,,,,,,4758,5632,6716,7394,,
"> 10 and = < 20 years","Light goods road vehicles","Netherlands",,,,109552,126108,131960,137973,145448,156780,179479,187848,186110,173759,183105,203502,229207,254802,275199,286964,296097,,,236513,241447,243077,248622,266233,261692,253993
"> 10 and = < 20 years","Light goods road vehicles","North Macedonia",13778,11920,13500,13578,13889,14057,14283,14953,16421,15176,14348,,11273,10097,10621,11249,12118,11798,17312,16353,19306,20779,21006,21971,23808,26067,27284,,
"> 10 and = < 20 years","Light goods road vehicles","Norway",,,113924,128001,,,,,,,,139406,148004,154107,161803,166052,170659,176125,181140,181584,,,,148805,163489,166056,163885,163649,161376
"> 10 and = < 20 years","Light goods road vehicles","Poland",,,,,,,,,,1062458,1094526,1084063,1106413,1200203,1313028,1473959,1586354,1731685,1986431,1850882,981847,812937,852838,878066,871150,953245,961943,954475,980424
"> 10 and = < 20 years","Light goods road vehicles","Portugal",,,,,,642594,710004,781191,,,,,,,,,,808587,845264,779146,566699,601350,597154,595140,594442,594344,607378,535404,492829
"> 10 and = < 20 years","Light goods road vehicles","Republic of Moldova",,,,23793,25268,25761,24031,20152,19451,19121,18557,45178,50350,68490,80082,,101325,102219,122908,133491,140055,147509,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Romania",,,,,,,,,,,,,,,,221439,243232,232832,319655,350172,,,,586961,661850,453386,461843,456711,442492
"> 10 and = < 20 years","Light goods road vehicles","Russian Federation",,,,,,,,,,,,,,,,,3348329,3467489,3571145,3700050,3509227,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","San Marino",,,,,,,,,,,972,872,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Serbia",,,,,,,,,,,,,,84151,81080,81486,82768,77701,79861,76654,77029,75985,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Slovakia",,,,,,,,98099,94941,111846,105845,84528,,,138040,176065,181959,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Slovenia",11224,11795,13233,,13573,14161,14685,15020,14661,11820,,,17180,17771,18903,20379,21777,23070,24189,25100,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Spain",815510,838724,897612,841873,916033,1038198,1177093,1322203,1663736,1773278,1774951,1838601,1875236,1763639,1813714,1902819,2005458,2148207,2289940,2417360,,1839513,1988957,2141170,2253709,2194471,2058806,1948072,1836137
"> 10 and = < 20 years","Light goods road vehicles","Sweden",,,94288,103409,115039,132448,128474,145402,159984,157983,148697,138470,128581,121685,119469,117747,127409,131767,141013,148870,102123,105403,115839,111035,114620,120031,126448,123085,133141
"> 10 and = < 20 years","Light goods road vehicles","Switzerland",62165,65550,72251,77350,83117,91097,99198,103049,102846,101289,96734,96519,101017,98900,99900,96200,95000,99800,107500,110600,71000,81100,73000,85400,89213,93071,94572,98368,105425
"> 10 and = < 20 years","Light goods road vehicles","Tajikistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Turkiye",,,,,,,,,,,,803731,858710,960919,1093480,1169395,1226793,,,,605800,752437,945863,1147587,1252355,1347799,1416466,1506137,
"> 10 and = < 20 years","Light goods road vehicles","Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Ukraine",,,,,,,,471177,,,,,614638,,,593588,,565082,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","United Kingdom",,,,598327,656547,753590,817950,820771,778866,733944,691469,688328,683301,559100,572250,753587,800302,798344,855194,,,,1007152,1097909,1171362,1197634,,,1235753
"> 10 and = < 20 years","Light goods road vehicles","United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Light goods road vehicles","Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Albania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Armenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Austria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Azerbaijan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Croatia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Cyprus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Czechia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Denmark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Estonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Finland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Greece",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Hungary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Iceland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Israel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Kazakhstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Liechtenstein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Lithuania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Luxembourg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Malta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Monaco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Montenegro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Norway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Poland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Portugal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Republic of Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Romania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Russian Federation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","San Marino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Serbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Slovakia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Slovenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Sweden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Tajikistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Turkiye",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Ukraine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Lorries (vehicle wt over 3500 kg)","Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Road tractors","Albania",4366,4626,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Road tractors","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Road tractors","Armenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Road tractors","Austria",,,,,1599,1743,1804,2786,1734,1612,1548,1432,1425,1130,1095,1100,1185,1330,1418,1456,1273,1329,1447,1624,1888,2100,2171,2034,2023
"> 10 and = < 20 years","Road tractors","Azerbaijan",,,,,,,,,,,,,,,,6421,,,,5608,,,,,,,10493,,
"> 10 and = < 20 years","Road tractors","Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Road tractors","Belgium",12591,12638,12876,12881,13064,12757,13152,13117,12670,12370,11813,11529,10627,10754,10861,10962,10824,11147,11410,11724,4340,4420,4862,6020,6422,6948,6814,6333,6360
"> 10 and = < 20 years","Road tractors","Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,3711,4377,,4260,4466
"> 10 and = < 20 years","Road tractors","Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Road tractors","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> 10 and = < 20 years","Road tractors","Croatia",,,1010,1376,1850,2236,2409,2357,2724,2612,2491,2475,2371,2211,2412,2509,2649,2397,2440,2020,2119,2233,2238,2325,2531,3339,4003,3900,4001
"> 10 and = < 20 years","Road tractors","Cyprus",,,,,,,,,,,,,391,439,440,517,602,754,954,1063,1038,1145,1209,1297,1298,1365,1322,1245,1249
"> 10 and = < 20 years","Road tractors","Czechia",3625,4265,4590,5252,5964,6380,7016,7188,7359,8014,7194,6647,6903,7073,7482,7597,7115,7372,7744,5964,5901,5453,4512,3943,3674,3842,3551,3327,3267
"> 10 and = < 20 years","Road tractors","Denmark",621,758,529,579,672,683,685,696,700,707,765,776,882,1000,989,929,,,,,722,783,768,1207,1462,1544,1373,1154,1116
"> 10 and = < 20 years","Road tractors","Estonia",,,,,,,,,,,,,,,,1990,2050,2551,2862,3127,2826,2969,3221,3792,4493,4865,4802,4509,4527
"> 10 and = < 20 years","Road tractors","Finland",,,,,1222,1161,1482,1617,1546,1440,1233,1238,1344,1419,1896,2514,2541,3543,4082,4719,4490,5198,5889,6524,7148,7642,7639,7511,7478
