"Passenger road vehicle fleet and rate per thousand inhabitants at 31 December by vehicle category"

"Measurement","Vehicle category","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"absolute value","Mopeds","Iceland",..,483,509,545,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2548,2546,2512,2838,2797
"absolute value","Mopeds","Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,4040,3780,3180,2700,2380,2240,2140,2060,2020,2030,1950,1940,1950,1850,1840
"absolute value","Mopeds","Israel",24663,28494,31673,33492,34579,35238,35130,35840,36677,36539,..,..,35518,35794,32648,28097,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Italy",..,3572000,3698000,3760000,3822000,4000000,4431146,4451124,4495813,4540906,5925000,5650000,..,..,..,..,2900000,2550000,2550000,2153000,2256000,2516612,2421947,2476819,2528419,2574005,2625485,2627273,2976532
"absolute value","Mopeds","Kazakhstan",..,..,..,..,..,532000,1146000,1146000,1205000,1143000,1436000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Kyrgyzstan",..,..,..,..,..,..,..,..,73000,80000,..,..,53000,120000,19000,19000,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Latvia",..,..,..,..,..,..,..,..,..,..,..,5900,7300,9700,13500,17100,18373,19486,21238,23209,25001,26615,28047,29252,30666,32185,33631,34860,36222
"absolute value","Mopeds","Liechtenstein",..,..,1023,949,1136,1351,1500,940,946,1100,1123,987,878,874,886,960,1213,1320,1246,1220,1090,1030,1105,1148,1199,1198,1286,1414,1420
"absolute value","Mopeds","Lithuania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,6444,11588,14800,17276,18775,20644,21169,9789,11102,10929,11018,11601,13451,15028,16880
"absolute value","Mopeds","Luxembourg",20000,20000,..,..,..,..,..,19040,18830,19000,19000,23000,23000,24000,25000,25000,25600,26300,27100,28000,8527,9385,9690,9768,9747,8984,8479,8580,8632
"absolute value","Mopeds","Malta",..,..,..,..,..,..,..,..,..,..,..,..,61,70,83,89,69,56,62,68,88,142,170,253,288,328,1018,954,1894
"absolute value","Mopeds","Monaco",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1029
"absolute value","Mopeds","Montenegro",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Netherlands",463000,666000,684000,711000,681000,529000,..,..,504000,508000,499000,502000,..,398763,436605,476876,955701,1028096,1061676,1085243,1101987,1124795,1150833,1178300,1211522,1126013,1249420,1292975,1209525
"absolute value","Mopeds","North Macedonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
